Unnamed: 0,player,player_id,team,opponent,start_date,end_date,venue,match_type,is_captain,is_player_of_match,runs_scored,balls_faced,outs,fours,sixes,runs_conceded,balls_bowled,wickets,catches,stumpings,runouts,wickets_taken_players,dismissed_by,wicket_type,runs_powerplay,fours_powerplay,sixes_powerplay,wickets_powerplay,runs_middle,fours_middle,sixes_middle,wickets_middle,runs_death,fours_death,sixes_death,wickets_death,win,win_by_run,win_by_wickets,maidens,gender,batting_average,batting_strike_rate,bowling_average,bowling_strike_rate,bowling_economy,values
0,Murali Vijay,4b57e452,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,31,29,1,2,1,0,0,0,0,0,0,,['Alfonso Thomas'],['caught'],19,2,0,0,12,0,1,0,0,0,0,0,1,25,0,0,True,31.0,106.89655172413792,0.0,0.0,0.0,"{'batting_first_original_score': [1, 24, 9], 'batting_first_predicted_score': [16.994281768798828, 17.254554748535156, 17.539264678955078, 17.42535972595215], 'ceil_value': 103.05812579894285, 'chasing_first_original_score': [1, 24, 9], 'chasing_first_predicted_score': [14.592583656311035, 15.375448226928711, 14.8455228805542, 16.70575523376465], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [1.1917247772216797], 'fes': 2, 'floor_value': -2.288895029712087, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.0908544272015802, 'rank': 1.0, 'score': 26.257692307692306, 'strike_rate': [82.48705291748047], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
1,Michael Hussey,48fd7349,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,61,50,1,6,1,0,0,0,0,0,0,,['Jerome Taylor'],['caught'],9,0,1,0,47,5,0,0,5,1,0,0,1,25,0,0,True,61.0,122.0,0.0,0.0,0.0,"{'batting_first_original_score': [6, 8, -2], 'batting_first_predicted_score': [17.406293869018555, 17.406293869018555, 16.805206298828125, 17.42535972595215], 'ceil_value': 101.25958784137906, 'chasing_first_original_score': [6, 8, -2], 'chasing_first_predicted_score': [14.622650146484375, 14.87233829498291, 13.982903480529785, 16.84417724609375], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.5492641925811768], 'fes': 2, 'floor_value': -0.46693692274388354, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.0908544272015802, 'rank': 2.0, 'score': 40.82330827067669, 'strike_rate': [72.19770812988281], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
2,Suresh Raina,1dc12ab9,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,2,4,1,0,0,11,12,0,0,0,0,,['Alfonso Thomas'],['bowled'],0,0,0,0,2,0,0,0,0,0,0,0,1,25,0,0,True,2.0,50.0,0.0,0.0,0.0,"{'batting_first_original_score': [12, 2, 3], 'batting_first_predicted_score': [17.38048553466797, 17.025819778442383, 17.258878707885742, 17.599885940551758], 'ceil_value': 78.90391436271156, 'chasing_first_original_score': [12, 2, 3], 'chasing_first_predicted_score': [14.242996215820312, 13.585561752319336, 14.260862350463867, 15.95976734161377], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.3237719535827637], 'fes': 2, 'floor_value': 5.545441070069295, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.09104647546695134, 'rank': 3.0, 'score': 31.653754841934276, 'strike_rate': [78.38619995117188], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
3,Mahendra Singh Dhoni,4a8a2e3b,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,26,21,1,2,1,0,0,0,1,0,1,,['Rohit Sharma'],['stumped'],0,0,0,0,18,0,1,0,8,2,0,0,1,25,0,0,True,26.0,123.8095238095238,0.0,0.0,0.0,"{'batting_first_original_score': [39, -2, 52], 'batting_first_predicted_score': [17.143999099731445, 17.379602432250977, 16.96804428100586, 17.42535972595215], 'ceil_value': 88.12318955141549, 'chasing_first_original_score': [39, -2, 52], 'chasing_first_predicted_score': [15.365859031677246, 16.01228904724121, 15.567028045654297, 16.794477462768555], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [1.1165210008621216], 'fes': 2, 'floor_value': 6.44677193767307, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.0908544272015802, 'rank': 4.0, 'score': 20.521656534954406, 'strike_rate': [82.48705291748047], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
4,Albie Morkel,c3d35165,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,0,5,1,0,0,30,26,4,0,0,0,"Ashok Dinda, bowled, Manish Pandey, bowled, Yuvraj Singh, caught, Rohit Sharma, run out",['Jerome Taylor'],['caught'],0,0,0,1,0,0,0,1,0,0,0,2,1,25,0,0,True,0.0,0.0,7.5,6.5,6.923076923076923,"{'batting_first_original_score': [-2, 6, 91], 'batting_first_predicted_score': [16.422183990478516, 16.02213478088379, 15.627605438232422, 15.469078063964844], 'ceil_value': 78.16661816074338, 'chasing_first_original_score': [-2, 6, 91], 'chasing_first_predicted_score': [14.996281623840332, 15.473806381225586, 15.351775169372559, 16.51026725769043], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.140139102935791], 'fes': 2, 'floor_value': 8.290074752642433, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.0902490258477519, 'rank': 5.0, 'score': 36.56745689655172, 'strike_rate': [70.32412719726562], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
5,Subramaniam Badrinath,3576e47e,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,11,7,0,0,1,0,0,0,0,0,0,,[],[],0,0,0,0,0,0,0,0,11,0,1,0,1,25,0,0,True,11.0,157.14285714285714,0.0,0.0,0.0,"{'batting_first_original_score': [-2, -2, -2], 'batting_first_predicted_score': [17.508920669555664, 17.64567756652832, 17.64567756652832, 17.51673698425293], 'ceil_value': 47.62328127984035, 'chasing_first_original_score': [-2, -2, -2], 'chasing_first_predicted_score': [15.571210861206055, 16.088735580444336, 15.632274627685547, 16.44882583618164], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [1.705291748046875], 'fes': 2, 'floor_value': -6.642512049071115, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.09211492146485199, 'rank': 6.0, 'score': 21.30769230769231, 'strike_rate': [83.37491607666016], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
6,Srikkanth Anirudha,95a2ea61,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,7,7,1,0,0,0,0,0,0,0,0,,['Jerome Taylor'],['caught'],0,0,0,0,0,0,0,0,7,0,0,0,1,25,0,0,True,7.0,100.0,0.0,0.0,0.0,"{'batting_first_original_score': [48, 44, 3], 'batting_first_predicted_score': [16.014785766601562, 16.014785766601562, 17.276325225830078, 16.58913803100586], 'ceil_value': 39.177784594932106, 'chasing_first_original_score': [48, 44, 3], 'chasing_first_predicted_score': [15.179750442504883, 15.204835891723633, 15.243424415588379, 17.13374137878418], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.3635475635528564], 'fes': 2, 'floor_value': -5.400006817154331, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.09121489940125845, 'rank': 7.0, 'score': 18.089285714285715, 'strike_rate': [62.08573532104492], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
7,Ravichandran Ashwin,495d42a5,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,0,0,0,0,0,19,24,2,0,0,0,"Jesse Ryder, bowled, Robin Uthappa, bowled",[],[],0,0,0,1,0,0,0,1,0,0,0,0,1,25,0,1,True,0.0,0.0,9.5,12.0,4.75,"{'batting_first_original_score': [89, 32, 71], 'batting_first_predicted_score': [46.38148880004883, 46.77835464477539, 48.2237548828125, 17.42535972595215], 'ceil_value': 112.72280857118677, 'chasing_first_original_score': [89, 32, 71], 'chasing_first_predicted_score': [35.98383331298828, 35.65475082397461, 38.403038024902344, 16.84417724609375], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.5492641925811768], 'fes': 2, 'floor_value': 4.31437342489933, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.0908544272015802, 'rank': 8.0, 'score': 22.178984536710097, 'strike_rate': [72.19770812988281], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
8,Doug Bollinger,45c2196c,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,0,0,0,0,0,22,25,3,0,0,0,"Mithun Manhas, caught, Jerome Taylor, run out, Nathan McCullum, caught",[],[],0,0,0,0,0,0,0,1,0,0,0,2,1,25,0,0,True,0.0,0.0,7.333333333333333,8.333333333333334,5.28,"{'batting_first_original_score': [100, 4, 31], 'batting_first_predicted_score': [41.38164520263672, 17.35865020751953, 17.58484649658203, 17.4792537689209], 'ceil_value': 81.96465768248521, 'chasing_first_original_score': [100, 4, 31], 'chasing_first_predicted_score': [30.40342140197754, 14.719929695129395, 14.530144691467285, 16.69283103942871], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.6745502948760986], 'fes': 2, 'floor_value': 8.888675650848135, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.09345671948874505, 'rank': 9.0, 'score': 46.063025210084035, 'strike_rate': [70.40116119384766], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
9,Shadab Jakati,c8179c68,Chennai Super Kings,Pune Warriors,2011-04-25,2011-04-25,"MA Chidambaram Stadium, Chepauk",T20,False,False,0,0,0,0,0,12,12,0,2,0,0,,[],[],0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,True,0.0,0.0,0.0,0.0,0.0,"{'batting_first_original_score': [15, 18, 21], 'batting_first_predicted_score': [17.849998474121094, 18.34644889831543, 18.080337524414062, 16.059823989868164], 'ceil_value': 60.55963054795427, 'chasing_first_original_score': [15, 18, 21], 'chasing_first_predicted_score': [14.57474422454834, 15.473238945007324, 15.615523338317871, 16.245819091796875], 'date_of_match': '2011-04-25 00:00:00', 'doi': 0.09910795611632671, 'economy': [2.1398932933807373], 'fes': 2, 'floor_value': -1.845344833668559, 'pcb': 0.9857973456382751, 'pfpp': 35.77366222034801, 'points': 0.08385424805605782, 'rank': 10.0, 'score': 24.372608695652175, 'strike_rate': [69.7120590209961], 'team1': [{'player_id': 2879, 'y': 36.776180267333984}, {'player_id': 2215, 'y': 36.2481689453125}, {'player_id': 6241, 'y': 35.89400100708008}, {'player_id': 1161, 'y': 35.82772445678711}, {'player_id': 3099, 'y': 35.75215148925781}, {'player_id': 3063, 'y': 35.75215148925781}, {'player_id': 3021, 'y': 35.75215148925781}, {'player_id': 2999, 'y': 35.75215148925781}, {'player_id': 10255, 'y': 35.57482147216797}, {'player_id': 8193, 'y': 35.513919830322266}, {'player_id': 2708, 'y': 34.66686248779297}], 'team2': [{'player_id': 6157, 'y': 34.585636138916016}, {'player_id': 6085, 'y': 34.585636138916016}, {'player_id': 7192, 'y': 34.157562255859375}, {'player_id': 7593, 'y': 34.157562255859375}, {'player_id': 1102, 'y': 33.8610954284668}, {'player_id': 1114, 'y': 33.8610954284668}, {'player_id': 3571, 'y': 33.6428337097168}, {'player_id': 3881, 'y': 33.6428337097168}, {'player_id': 4433, 'y': 33.408992767333984}, {'player_id': 8209, 'y': 33.273983001708984}, {'player_id': 8377, 'y': 32.99750900268555}], 'temp': 393.5102844238281, 'y_actual': [79, 65, 12, 25, 34, 26], 'y_pred': [33.03168487548828, 36.1535530090332, 35.07085418701172, 36.726219177246094, 36.0422248840332, 34.062252044677734]}"
